tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating
tt0111161,The Shawshank Redemption,1994,142,Drama,9.3
tt0068646,The Godfather,1972,175,"Crime,Drama",9.2
tt0468569,The Dark Knight,2008,152,"Action,Crime,Drama",9.1
tt0050083,12 Angry Men,1957,96,"Crime,Drama",9.0
tt0071562,The Godfather: Part II,1974,202,"Crime,Drama",9.0
tt0108052,Schindler's List,1993,195,"Biography,Drama,History",9.0
tt0167260,The Lord of the Rings: The Return of the King,2003,201,"Action,Adventure,Drama",9.0
tt5813916,The Mountain II,2016,135,"Action,Drama,War",9.0
tt0110912,Pulp Fiction,1994,154,"Crime,Drama",8.9
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action,Adventure,Drama",8.9
tt0060196,"The Good, the Bad and the Ugly",1966,161,"Adventure,Western",8.8
tt0109830,Forrest Gump,1994,142,"Drama,Romance",8.8
tt0137523,Fight Club,1999,139,Drama,8.8
tt0167261,The Lord of the Rings: The Two Towers,2002,179,"Action,Adventure,Drama",8.8
tt10554232,Dara of Jasenovac,2020,130,"Drama,War",8.8
tt1375666,Inception,2010,148,"Action,Adventure,Sci-Fi",8.8
tt0038650,It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",8.7
tt0047478,Seven Samurai,1954,207,"Action,Drama",8.7
tt0073486,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action,Adventure,Fantasy",8.7
tt0099685,Goodfellas,1990,145,"Biography,Crime,Drama",8.7
tt0133093,The Matrix,1999,136,"Action,Sci-Fi",8.7
tt0816692,Interstellar,2014,169,"Adventure,Drama,Sci-Fi",8.7
tt0076759,Star Wars,1977,121,"Action,Adventure,Fantasy",8.6
tt0088763,Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",8.6
tt0102926,The Silence of the Lambs,1991,118,"Crime,Drama,Thriller",8.6
tt0103064,Terminator 2: Judgment Day,1991,137,"Action,Sci-Fi",8.6
tt0110413,Léon: The Professional,1994,110,"Action,Crime,Drama",8.6
tt0114369,Se7en,1995,127,"Crime,Drama,Mystery",8.6
tt0120689,The Green Mile,1999,189,"Crime,Drama,Fantasy",8.6
tt0120815,Saving Private Ryan,1998,169,"Drama,War",8.6
tt0245429,Spirited Away,2001,125,"Adventure,Animation,Family",8.6
tt0253474,The Pianist,2002,150,"Biography,Drama,Music",8.6
tt0317248,City of God,2002,130,"Crime,Drama",8.6
tt0027977,Modern Times,1936,87,"Comedy,Drama,Romance",8.5
tt0034583,Casablanca,1942,102,"Drama,Romance,War",8.5
tt0047396,Rear Window,1954,112,"Mystery,Thriller",8.5
tt0054215,Psycho,1960,109,"Horror,Mystery,Thriller",8.5
tt0064116,Once Upon a Time in the West,1968,165,Western,8.5
tt0078748,Alien,1979,117,"Horror,Sci-Fi",8.5
tt0078788,Apocalypse Now,1979,147,"Drama,Mystery,War",8.5
tt0095327,Grave of the Fireflies,1988,89,"Animation,Drama,War",8.5
tt0095765,Cinema Paradiso,1988,155,"Drama,Romance",8.5
tt0110357,The Lion King,1994,88,"Adventure,Animation,Drama",8.5
tt0114814,The Usual Suspects,1995,106,"Crime,Drama,Mystery",8.5
tt0120586,American History X,1998,119,Drama,8.5
tt0172495,Gladiator,2000,155,"Action,Adventure,Drama",8.5
tt0209144,Memento,2000,113,"Mystery,Thriller",8.5
tt0407887,The Departed,2006,151,"Crime,Drama,Thriller",8.5
tt0482571,The Prestige,2006,130,"Drama,Mystery,Thriller",8.5
tt10872600,Spider-Man: No Way Home,2021,148,"Action,Adventure,Fantasy",8.5
tt1675434,The Intouchables,2011,112,"Biography,Comedy,Drama",8.5
tt1853728,Django Unchained,2012,165,"Drama,Western",8.5
tt2582802,Whiplash,2014,106,"Drama,Music",8.5
tt4154756,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.5
tt6751668,Parasite,2019,132,"Comedy,Drama,Thriller",8.5
tt0032553,The Great Dictator,1940,125,"Comedy,Drama,War",8.4
tt0043014,Sunset Blvd.,1950,110,"Drama,Film-Noir",8.4
tt0050825,Paths of Glory,1957,88,"Drama,War",8.4
tt0051201,Witness for the Prosecution,1957,116,"Crime,Drama,Mystery",8.4
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,"Comedy,War",8.4
tt0081505,The Shining,1980,146,"Drama,Horror",8.4
tt0082096,The Boat,1981,149,"Drama,War",8.4
tt0082971,Indiana Jones and the Raiders of the Lost Ark,1981,115,"Action,Adventure",8.4
tt0086879,Amadeus,1984,160,"Biography,Drama,Music",8.4
tt0087843,Once Upon a Time in America,1984,229,"Crime,Drama",8.4
